neuron_local_idx,neuron_global_idx,membership_count,coarse_overlap,detail_overlap,rr_label_single,preferred_class,selectivity_index,decoder_importance,ablation_effect_proxy,ablation_drop_actual,is_important_neuron,resp_Divergent,resp_Convergent,resp_Random
96,96,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.1307619435970604,0.00460036938545575,0.00460036938545575,-0.007407407407407307,0,0.14458690141758848,0.12306592501108608,0.09922743723210362
97,97,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.11328367053575648,0.004527258545951175,0.004527258545951175,-0.007407407407407307,0,0.13187806978519936,0.11970687707856534,0.09037154421072316
98,98,3,Shared_Core,Shared_Core,Shared_Core,Random,0.23519074212347216,0.00408167427944466,0.00408167427944466,,0,0.13928840088623543,0.1374203594076255,0.22344662767869455
99,99,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.1009792742993285,0.00449950691355502,0.00449950691355502,,0,0.11800887374233247,0.11284724201159503,0.07987650090966511
100,100,3,Shared_Core,Shared_Core,Shared_Core,Random,0.30914673082309113,0.0035557322971514946,0.0035557322971514946,,0,0.08608188505577682,0.08493190477528269,0.16203306394594688
101,101,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.2093425395147233,0.004002195707279958,0.004002195707279958,,0,0.08643284930925195,0.09347623851761301,0.035795027321135556
102,102,3,Shared_Core,Shared_Core,Shared_Core,Random,0.17570604593396666,0.0043779443512809955,0.0043779443512809955,,0,0.12403956876584778,0.12081120220362825,0.1746176411708196
103,103,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.3936195119063986,0.004249150970606663,0.004249150970606663,,0,0.07748129538743308,0.13345636066699784,0.03865561634302139
104,104,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.3393021197720073,0.004031354200685558,0.004031354200685558,,0,0.13652160127013405,0.08742563330898524,0.04727068536707924
105,105,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.34854072367109457,0.003954768842107499,0.003954768842107499,,0,0.15248907597614797,0.09376255096621298,0.05356770215762986
106,106,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.019329061266452202,0.004342184658462879,0.004342184658462879,,0,0.08735574338654126,0.08087299202406217,0.08721254997783237
