level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh,mouse_id
regime,StrongTail_D9D10,11448,5263.6,0.4349874610532715,0.2,2.1749373052554826,1.120973814435653,0.0,1.0,0.0,26318,263175,,M78_1017
decile,D1,262,664.3,0.0394400120427517,0.1,0.3944001204235736,-1.3422681026317484,1.0,3.843778090273377e-83,7.687556180546754e-83,6643,66430,3.8437780902733767e-82,M79_1128
decile,D2,464,664.3,0.0698479602589191,0.1,0.6984796025822068,-0.5177101090575511,1.0,1.0783084352902194e-19,2.1566168705804391e-19,6643,66430,7.188722901934798e-19,M79_1128
decile,D3,514,664.3,0.0773746801144061,0.1,0.7737468011363239,-0.3700665549932545,0.9999999999904728,1.3059762880138946e-11,2.611952576027789e-11,6643,66430,5.223905152055578e-11,M79_1128
decile,D4,568,664.3,0.085503537558332,0.1,0.8550353755747704,-0.2259439846842232,0.9999895014860783,1.282048973369971e-05,2.564097946739942e-05,6643,66430,3.662997066771346e-05,M79_1128
decile,D5,603,664.3,0.0907722414571729,0.1,0.9077224145626523,-0.1396769122897996,0.9964651662470356,0.0040327045611307,0.0080654091222615,6643,66430,0.0089615656914017,M79_1128
decile,D6,648,664.3,0.0975462893271112,0.1,0.9754628932613576,-0.0358411013063635,0.7648694957981327,0.2486756443747249,0.4973512887494498,6643,66430,0.4973512887494498,M79_1128
decile,D7,745,664.3,0.1121481258467559,0.1,1.121481258456345,0.1654055111566099,0.0003251846746128,0.9997212823635916,0.0006503693492257,6643,66430,0.0008129616865321,M79_1128
decile,D8,772,664.3,0.1162125545687189,0.1,1.162125545675568,0.2167659330747164,2.8923900784181148e-06,0.9999976251858196,5.7847801568362296e-06,6643,66430,9.641300261393716e-06,M79_1128
decile,D9,864,664.3,0.130061719102815,0.1,1.3006171910151436,0.3791963979687829,5.575277557136151e-17,1.0,1.1150555114272303e-16,6643,66430,2.7876387785680757e-16,M79_1128
decile,D10,1203,664.3,0.1810928797230167,0.1,1.8109287972120576,0.8567298229782649,1.5665294498921562e-101,1.0,3.1330588997843125e-101,6643,66430,3.1330588997843127e-100,M79_1128
regime,WeakTail_D1D2,726,1328.6,0.1092879723016709,0.2,0.5464398615056224,-0.8718653661896132,1.0,7.389896847044362e-96,1.4779793694088725e-95,6643,66430,,M79_1128
regime,StrongTail_D9D10,2067,1328.6,0.3111545988258317,0.2,1.5557729941213794,0.6376315692315192,2.1633575775841333e-114,1.0,4.326715155168267e-114,6643,66430,,M79_1128
decile,D1,115,275.0500090925623,0.0418181818181818,0.1000181851245681,0.4181057851197866,-1.2580600894859144,1.0,1.5088328533881928e-32,3.0176657067763856e-32,2750,27495,1.508832853388193e-31,M91_1017
decile,D2,169,274.9499909074377,0.0614545454545454,0.0999818148754319,0.6146572307223817,-0.7021459923727029,0.9999999999999816,3.347148054437332e-14,6.694296108874664e-14,2750,27495,2.231432036291555e-13,M91_1017
decile,D3,207,275.0500090925623,0.0752727272727272,0.1000181851245681,0.7525904132156159,-0.4100631829462972,0.999999009650293,1.4125907708938269e-06,2.8251815417876537e-06,2750,27495,7.062953854469134e-06,M91_1017
decile,D4,243,274.9499909074377,0.0883636363636363,0.0999818148754319,0.88379708322804,-0.178212925056255,0.9861942833986278,0.0164403998651528,0.0328807997303057,2750,27495,0.0469725710432939,M91_1017
decile,D5,227,275.0500090925623,0.0825454545454545,0.1000181851245681,0.8253044628016658,-0.2770016531563961,0.9995618501842992,0.0005629664610756,0.0011259329221512,2750,27495,0.0018765548702521,M91_1017
decile,D6,274,274.9499909074377,0.0996363636363636,0.0999818148754319,0.9965448592777076,-0.0049933457033565,0.5358837245056616,0.4908229050502791,0.9816458101005582,2750,27495,0.9816458101005582,M91_1017
decile,D7,274,275.0500090925623,0.0996363636363636,0.1000181851245681,0.9961824793288828,-0.0055180574897823,0.5385434340597057,0.4881507311724613,0.9763014623449228,2750,27495,0.9816458101005582,M91_1017
decile,D8,299,274.9499909074377,0.1087272727272727,0.0999818148754319,1.0874704851242136,0.1209762455330111,0.0584511635746388,0.9488131516100986,0.1169023271492776,2750,27495,0.146127908936597,M91_1017
decile,D9,336,275.0500090925623,0.1221818181818181,0.1000181851245681,1.2215960330456377,0.2887672823257793,3.909157638960947e-05,0.99997008569264,7.818315277921894e-05,2750,27495,0.0001563663055584,M91_1017
decile,D10,606,274.9499909074377,0.2203636363636363,0.0999818148754319,2.2040371705193094,1.1401485548011348,1.138008809975852e-87,1.0,2.276017619951704e-87,2750,27495,2.276017619951704e-86,M91_1017
regime,WeakTail_D1D2,284,550.0,0.1032727272727272,0.2,0.5163636363610544,-0.9535406889005836,1.0,1.276781546595313e-46,2.553563093190626e-46,2750,27495,,M91_1017
regime,StrongTail_D9D10,942,550.0,0.3425454545454545,0.2,1.7127272727187088,0.7762954411977593,6.856059963397134e-77,1.0,1.3712119926794269e-76,2750,27495,,M91_1017
