ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base,mouse_id
random,0.03,7573,3,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0232558139534883,0.0077519379844961,M77_1031
random,0.03,7573,4,0.9612403100775192,0.0484108371968868,0.945736434108527,0.0355238425965569,0.0155038759689922,M77_1031
random,0.03,7573,5,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0465116279069767,0.0077519379844961,M77_1031
random,0.03,7573,6,0.9612403100775192,0.0484108371968868,0.937984496124031,0.0134267504462703,0.0232558139534883,M77_1031
random,0.03,7573,7,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0402802513388111,0.0077519379844961,M77_1031
top,0.05,12621,-1,0.9612403100775192,0.0484108371968868,0.9379844961240308,0.0355238425965569,0.0232558139534884,M77_1031
random,0.05,12621,0,0.9612403100775192,0.0484108371968868,0.9379844961240308,0.0355238425965569,0.0232558139534884,M77_1031
random,0.05,12621,1,0.9612403100775192,0.0484108371968868,0.9379844961240308,0.0355238425965569,0.0232558139534884,M77_1031
random,0.05,12621,2,0.9612403100775192,0.0484108371968868,0.9612403100775192,0.0268535008925407,0.0,M77_1031
random,0.05,12621,3,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0232558139534883,0.0077519379844961,M77_1031
random,0.05,12621,4,0.9612403100775192,0.0484108371968868,0.945736434108527,0.0355238425965569,0.0155038759689922,M77_1031
random,0.05,12621,5,0.9612403100775192,0.0484108371968868,0.9767441860465116,0.0232558139534883,-0.0155038759689922,M77_1031
random,0.05,12621,6,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0,0.007751937984496,M77_1031
random,0.05,12621,7,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0402802513388111,0.0077519379844961,M77_1031
top,0.01,149,-1,0.7818181818181819,0.1012320793241822,0.7515151515151516,0.0688352526763669,0.0303030303030302,M77_1107
random,0.01,149,0,0.7818181818181819,0.1012320793241822,0.7393939393939394,0.0104972776216295,0.0424242424242424,M77_1107
random,0.01,149,1,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0181818181818181,0.0181818181818181,M77_1107
random,0.01,149,2,0.7818181818181819,0.1012320793241822,0.7333333333333334,0.0457565723349742,0.0484848484848484,M77_1107
random,0.01,149,3,0.7818181818181819,0.1012320793241822,0.7515151515151516,0.1168927364968843,0.0303030303030302,M77_1107
random,0.01,149,4,0.7818181818181819,0.1012320793241822,0.787878787878788,0.0209945552432591,-0.0060606060606061,M77_1107
random,0.01,149,5,0.7818181818181819,0.1012320793241822,0.7515151515151515,0.0584463682484421,0.0303030303030303,M77_1107
random,0.01,149,6,0.7818181818181819,0.1012320793241822,0.7272727272727272,0.0629836657297773,0.0545454545454546,M77_1107
random,0.01,149,7,0.7818181818181819,0.1012320793241822,0.7090909090909091,0.0792527080643759,0.0727272727272727,M77_1107
top,0.03,447,-1,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0909090909090908,0.0181818181818181,M77_1107
random,0.03,447,0,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0655554777357089,0.0181818181818181,M77_1107
random,0.03,447,1,0.7818181818181819,0.1012320793241822,0.793939393939394,0.0277731860300354,-0.012121212121212,M77_1107
random,0.03,447,2,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0833195580901061,0.0181818181818181,M77_1107
random,0.03,447,3,0.7818181818181819,0.1012320793241822,0.7393939393939394,0.1210605112450799,0.0424242424242424,M77_1107
random,0.03,447,4,0.7818181818181819,0.1012320793241822,0.7818181818181819,0.0181818181818181,0.0,M77_1107
random,0.03,447,5,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.094475498594666,0.0181818181818181,M77_1107
random,0.03,447,6,0.7818181818181819,0.1012320793241822,0.7333333333333334,0.0209945552432591,0.0484848484848484,M77_1107
