rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
170,2604,15,145,15,145,DepthMid,DepthMid,DepthMid--DepthMid,8,0.1603919340655536,0.00014433903110250087,0.009916923583695428
171,4422,27,157,27,157,DepthHigh,DepthLow,DepthHigh--DepthLow,6,0.12471342497953908,0.00014393176995945798,0.009888942395216363
172,4229,26,109,26,109,DepthHigh,DepthLow,DepthHigh--DepthLow,4,0.10065493176715098,0.00014376938447869085,0.00987778557649887
173,14733,155,164,155,164,DepthLow,DepthLow,DepthLow--DepthLow,10,0.5539673211656014,0.00014302285155340602,0.009826494460601708
174,9183,65,149,65,149,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.17868156677509464,0.0001429986511910307,0.009824831756185997
175,11876,95,97,95,97,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7880267696159916,0.00014248345001079726,0.009789434464853366
176,2447,14,145,14,145,DepthMid,DepthMid,DepthMid--DepthMid,9,0.18152770861462636,0.00014246039678436113,0.009787850575290172
177,4541,28,132,28,132,DepthMid,DepthMid,DepthMid--DepthMid,9,0.2044108922325304,0.00014212219041022533,0.009764613847551286
178,11720,93,96,93,96,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6564754969387848,0.00014155579732685907,0.009725699377340606
179,8323,58,59,58,59,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7206221998658171,0.00014154332606259535,0.009724842529586046
180,5334,34,82,34,82,DepthMid,DepthLow,DepthLow--DepthMid,10,0.2481594533284216,0.00014134934903596666,0.009711515189535502
181,14816,161,166,161,166,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5756661980277035,0.00013995785538509404,0.009615911553446927
182,10057,74,105,74,105,DepthMid,DepthLow,DepthLow--DepthMid,10,0.25235212030174153,0.00013973231485988062,0.009600415619072947
183,4034,25,60,25,60,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.2281931256141351,0.00013967228024869366,0.009596290895171377
184,9313,67,68,67,68,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7167759656050959,0.00013935027844742245,0.009574167515011294
185,13934,129,132,129,132,DepthMid,DepthMid,DepthMid--DepthMid,10,0.601212960824496,0.00013932312135663203,0.00957230166630726
186,2948,18,24,18,24,DepthHigh,DepthHigh,DepthHigh--DepthHigh,7,0.13997546364959162,0.00013930146140066438,0.009570813502457767
187,6094,39,167,39,167,DepthLow,DepthLow,DepthLow--DepthLow,9,0.19318634163083498,0.00013924335573084896,0.009566821307949202
188,1676,10,12,10,12,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5602418630290728,0.00013922036158004868,0.009565241477222777
189,11721,93,97,93,97,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6493086575056208,0.00013912901938102905,0.009558965741541822
190,9115,65,81,65,81,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7444840148993743,0.0001389902831216593,0.009549433760677404
191,5131,32,156,32,156,DepthHigh,DepthLow,DepthHigh--DepthLow,8,0.15876400227824874,0.00013854676536898523,0.009518961534089173
192,9008,64,81,64,81,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6803190758249434,0.00013830463817282362,0.00950232599979517
193,11719,93,95,93,95,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6441192888339727,0.00013812785815958217,0.009490180193708975
194,6556,43,107,43,107,DepthMid,DepthLow,DepthLow--DepthMid,9,0.20267917453611473,0.00013802070975015422,0.009482818480246614
195,5133,32,158,32,158,DepthHigh,DepthLow,DepthHigh--DepthLow,5,0.1071955332312281,0.00013797456597120717,0.009479648136603696
196,14788,159,161,159,161,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5527900330105064,0.0001378896862147989,0.009473816407987576
197,2977,18,53,18,53,DepthHigh,DepthHigh,DepthHigh--DepthHigh,8,0.17858831734689448,0.00013785320335617048,0.009471309825267922
198,2319,14,17,14,17,DepthMid,DepthHigh,DepthHigh--DepthMid,5,0.10673931054810935,0.00013768036179371467,0.009459434613456755
